YEAR,MONTH,DATE,SBC_SITE,LOCATION,COUNT,ACTIVITY,NOTES
2009,7,7/10/2009,MOHK,MOHK,0,NA,NA
2009,7,7/14/2009,NAPL,NAPL,0,NA,NA
2009,7,7/15/2009,AQUE,AQUE,0,NA,NA
2009,7,7/17/2009,MOHK,MOHK,0,NA,NA
2009,7,7/17/2009,IVEE,IVEE,0,NA,NA
2009,7,7/17/2009,MOHK,MOHK,0,NA,NA
2009,7,7/17/2009,NAPL,NAPL,0,NA,NA
2009,7,7/20/2009,GOLB,GOLB,0,NA,NA
2009,7,7/20/2009,IVEE,IVEE,0,NA,NA
2009,7,7/21/2009,NAPL,NAPL,0,NA,NA
2009,7,7/21/2009,NAPL,NAPL,0,NA,NA
2009,7,7/22/2009,NAPL,NAPL,0,NA,NA
2009,7,7/22/2009,NAPL,NAPL,0,NA,NA
2009,7,7/23/2009,MOHK,MOHK,0,NA,NA
2009,7,7/23/2009,MOHK,MOHK,0,NA,NA
2009,7,7/24/2009,ABUR,ABUR,0,NA,NA
2009,7,7/24/2009,CARP,CARP,0,NA,NA
2009,7,7/24/2009,MOHK,MOHK,0,NA,NA
2009,7,7/27/2009,AQUE,AQUE,0,NA,NA
2009,7,7/27/2009,AQUE,AQUE,0,NA,NA
2009,7,7/27/2009,SCTW,SCTW,0,NA,NA
2009,7,7/27/2009,AHND,AHND,0,NA,NA
2009,7,7/27/2009,SCDI,SCDI,0,NA,NA
2009,7,7/28/2009,BULL,BULL,2,RAFTING,NA
2009,7,7/28/2009,BULL,BULL,0,NA,NA
2009,7,7/28/2009,AHND,AHND,0,NA,NA
2009,7,7/28/2009,AHND,AHND,0,NA,NA
2009,7,7/29/2009,SCDI,SCDI,0,NA,NA
2009,7,7/30/2009,CARP,CARP,0,NA,NA
2009,7,7/30/2009,CARP,CARP,0,NA,NA
2009,8,8/5/2009,AQUE,AQUE,0,NA,NA
2009,8,8/5/2009,NAPL,NAPL,0,NA,NA
2009,8,8/6/2009,ABUR,ABUR,0,NA,NA
2009,8,8/6/2009,MOHK,MOHK,0,NA,NA
2009,8,8/10/2009,MOHK,MOHK,0,NA,NA
2009,8,8/11/2009,MOHK,MOHK,0,NA,NA
2009,8,8/11/2009,CARP,CARP,0,NA,NA
2009,8,8/13/2009,MOHK,MOHK,0,NA,NA
2009,8,8/27/2009,NAPL,NAPL,0,NA,NA
2009,8,8/30/2009,AQUE,AQUE,0,NA,NA
2009,9,9/1/2009,ABUR,ABUR,0,NA,NA
2009,9,9/1/2009,MOHK,MOHK,0,NA,NA
2009,9,9/2/2009,MOHK,MOHK,0,NA,NA
2009,9,9/4/2009,CARP,CARP,0,NA,NA
2009,9,9/9/2009,BULL,BULL,0,NA,NA
2009,9,9/9/2009,AHND,AHND,0,NA,NA
2009,9,9/9/2009,AQUE,AQUE,0,NA,NA
2009,9,9/10/2009,CARP,CARP,0,NA,NA
2009,9,9/22/2009,ABUR,ABUR,0,NA,NA
2009,9,9/22/2009,GOLB,GOLB,0,NA,NA
2009,9,9/22/2009,IVEE,IVEE,0,NA,NA
2009,9,9/22/2009,MOHK,MOHK,0,NA,NA
2009,9,9/22/2009,NAPL,NAPL,0,NA,NA
2009,9,9/24/2009,MOHK,MOHK,0,NA,NA
2009,9,9/28/2009,AQUE,AQUE,2,RAFTING,NA
2009,9,9/30/2009,MOHK,MOHK,0,NA,NA
2009,10,10/1/2009,ABUR,ABUR,0,NA,NA
2009,10,10/5/2009,MOHK,MOHK,0,NA,NA
2009,10,10/7/2009,AQUE,AQUE,0,NA,NA
2009,10,10/8/2009,OTHER,ANACAPA ISLAND,0,NA,NA
2009,10,10/9/2009,MOHK,MOHK,0,NA,NA
2009,10,10/12/2009,CARP,CARP,0,NA,NA
2009,10,10/20/2009,NAPL,NAPL,0,NA,NA
2009,10,10/29/2009,MOHK,MOHK,0,NA,NA
